p_s,mean_stdev_bias,stdev_stdev_bias,mean_mean_iterations,stdev_mean_iterations
1,0.1703408001992463,0.0016580000793686013,0.11129783333331447,0.00024870112585183345
3.1622776601683795,0.16991123674550063,0.001549524133048395,0.11126555555553669,0.0003917375822323762
10,0.17021562348699604,0.0016691687248779356,0.11139933333331448,0.0003544986722710038
31.622776601683793,0.16995467811438075,0.0015549530536906133,0.11170177777775887,0.00028260241233355626
100,0.16889172418390822,0.00172690564737822,0.11270838888886953,0.00048040668535431953
316.22776601683796,0.16773100210756958,0.0017568221918159291,0.1160974999999795,0.0010688778080392243
1000,0.1622756032808483,0.001839844686426083,0.12586449999998997,0.0017424964610224902
3162.2776601683795,0.14803867627652845,0.001584211572718293,0.15193294444446664,0.0007141004896086689
10000,0.13800975871366836,0.0012747450625738108,0.1793651666666835,0.0012295566813777434
31622.776601683792,0.12167970419576618,0.0010857920103493686,0.2346792777777102,0.0012825808532273906
100000,0.10446031437640686,0.0010244757933286826,0.3191235000000067,0.0013836111066502438
316227.7660168379,0.08806729473388467,0.0006908073969111004,0.44382566666665396,0.0010833174585691008
1000000,0.07453562224683848,0.0007103836346292752,0.6041378888889427,0.0014816650793611805
3162277.6601683795,0.06509726033195999,0.0005066483473963969,0.7710646666667502,0.0009393338919133753
10000000,0.0600784348832292,0.000638953367317091,0.8968091666665995,0.0005941069265164485
31622776.60168379,0.057821511848991376,0.0006199048979304437,0.9626879444444882,0.0003197281880035017
100000000,0.0569789358004924,0.00041141060270548255,0.9879691666668415,0.00011465090599960404
316227766.01683795,0.05677217385909478,0.00048528699438578636,1,0
1000000000,0.05677380894500263,0.0004932711471150331,1,0
3162277660.1683793,0.056625044689898256,0.0004903388293041785,1,0
10000000000,0.056672960072435156,0.000522970568864822,1,0
31622776601.683792,0.05658144010295256,0.0004521051626309736,1,0
100000000000,0.05675019713139227,0.0005783986616971398,1,0
316227766016.83795,0.05660133494353689,0.0005190835583264376,1,0
1000000000000,0.0565256607425561,0.0006257611747887352,1,0
