q,k_floor,C
0.8,3,1.8640048036788353
0.8,4,2.485339738238447
0.8,5,3.106674672798059
0.8,6,3.7280096073576705
0.8,7,4.349344541917282
0.8,8,4.970679476476894
0.8,9,5.592014411036506
0.8,10,6.213349345596118
0.81,3,1.806433207057917
0.81,4,2.408577609410556
0.81,5,3.0107220117631948
0.81,6,3.612866414115834
0.81,7,4.215010816468473
0.81,8,4.817155218821112
0.81,9,5.419299621173751
0.81,10,6.0214440235263895
0.8200000000000001,3,1.7494767611480313
0.8200000000000001,4,2.3326356815307085
0.8200000000000001,5,2.915794601913386
0.8200000000000001,6,3.4989535222960626
0.8200000000000001,7,4.08211244267874
0.8200000000000001,8,4.665271363061417
0.8200000000000001,9,5.248430283444094
0.8200000000000001,10,5.831589203826772
0.8300000000000001,3,1.6930434923738045
0.8300000000000001,4,2.2573913231650726
0.8300000000000001,5,2.8217391539563406
0.8300000000000001,6,3.386086984747609
0.8300000000000001,7,3.950434815538877
0.8300000000000001,8,4.514782646330145
0.8300000000000001,9,5.079130477121413
0.8300000000000001,10,5.643478307912681
0.8400000000000001,3,1.6370350019059368
0.8400000000000001,4,2.182713335874582
0.8400000000000001,5,2.728391669843228
0.8400000000000001,6,3.2740700038118735
0.8400000000000001,7,3.819748337780519
0.8400000000000001,8,4.365426671749164
0.8400000000000001,9,4.91110500571781
0.8400000000000001,10,5.456783339686456
0.8500000000000001,3,1.5813443661448012
0.8500000000000001,4,2.108459154859735
0.8500000000000001,5,2.635573943574669
0.8500000000000001,6,3.1626887322896025
0.8500000000000001,7,3.6898035210045363
0.8500000000000001,8,4.21691830971947
0.8500000000000001,9,4.744033098434404
0.8500000000000001,10,5.271147887149338
0.8600000000000001,3,1.5258534067746876
0.8600000000000001,4,2.0344712090329167
0.8600000000000001,5,2.543089011291146
0.8600000000000001,6,3.0517068135493752
0.8600000000000001,7,3.5603246158076045
0.8600000000000001,8,4.068942418065833
0.8600000000000001,9,4.577560220324063
0.8600000000000001,10,5.086178022582292
0.8700000000000001,3,1.4704290624101684
0.8700000000000001,4,1.9605720832135578
0.8700000000000001,5,2.4507151040169473
0.8700000000000001,6,2.9408581248203367
0.8700000000000001,7,3.431001145623726
0.8700000000000001,8,3.9211441664271156
0.8700000000000001,9,4.4112871872305055
0.8700000000000001,10,4.9014302080338945
0.88,3,1.4149184517772546
0.88,4,1.8865579357030062
0.88,5,2.358197419628758
0.88,6,2.8298369035545092
0.88,7,3.301476387480261
0.88,8,3.7731158714060125
0.88,9,4.2447553553317645
0.88,10,4.716394839257516
0.89,3,1.3591419818497896
0.89,4,1.812189309133053
0.89,5,2.265236636416316
0.89,6,2.7182839636995793
0.89,7,3.1713312909828426
0.89,8,3.624378618266106
0.89,9,4.077425945549369
0.89,10,4.530473272832632
0.9,3,1.3028834457097553
0.9,4,1.737177927613007
0.9,5,2.1714724095162588
0.9,6,2.6057668914195107
0.9,7,3.0400613733227626
0.9,8,3.474355855226014
0.9,9,3.908650337129266
0.9,10,4.3429448190325175
0.91,3,1.245875317623806
0.91,4,1.6611670901650746
0.91,5,2.0764588627063434
0.91,6,2.491750635247612
0.91,7,2.9070424077888806
0.91,8,3.322334180330149
0.91,9,3.7376259528714177
0.91,10,4.152917725412687
0.92,3,1.1877760529661479
0.92,4,1.5837014039548638
0.92,5,1.9796267549435798
0.92,6,2.3755521059322957
0.92,7,2.7714774569210117
0.92,8,3.1674028079097276
0.92,9,3.5633281588984436
0.92,10,3.9592535098871595
0.93,3,1.1281333748241615
0.93,4,1.504177833098882
0.93,5,1.8802222913736024
0.93,6,2.256266749648323
0.93,7,2.6323112079230433
0.93,8,3.008355666197764
0.93,9,3.3844001244724846
0.93,10,3.760444582747205
0.9400000000000001,3,1.066321380710045
0.9400000000000001,4,1.4217618409467265
0.9400000000000001,5,1.7772023011834082
0.9400000000000001,6,2.13264276142009
0.9400000000000001,7,2.488083221656771
0.9400000000000001,8,2.843523681893453
0.9400000000000001,9,3.1989641421301345
0.9400000000000001,10,3.5544046023668163
0.9500000000000001,3,1.0014246020860018
0.9500000000000001,4,1.3352328027813356
0.9500000000000001,5,1.6690410034766696
0.9500000000000001,6,2.0028492041720036
0.9500000000000001,7,2.3366574048673376
0.9500000000000001,8,2.670465605562671
0.9500000000000001,9,3.004273806258005
0.9500000000000001,10,3.3380820069533392
0.9600000000000001,3,0.9320024018394171
0.9600000000000001,4,1.2426698691192228
0.9600000000000001,5,1.5533373363990286
0.9600000000000001,6,1.8640048036788341
0.9600000000000001,7,2.17467227095864
0.9600000000000001,8,2.4853397382384457
0.9600000000000001,9,2.796007205518251
0.9600000000000001,10,3.106674672798057
0.9700000000000001,3,0.8555398450123581
0.9700000000000001,4,1.1407197933498108
0.9700000000000001,5,1.4258997416872636
0.9700000000000001,6,1.7110796900247163
0.9700000000000001,7,1.9962596383621691
0.9700000000000001,8,2.2814395866996215
0.9700000000000001,9,2.5666195350370744
0.9700000000000001,10,2.8517994833745273
0.98,3,0.7668666559059946
0.98,4,1.022488874541326
0.98,5,1.2781110931766575
0.98,6,1.5337333118119891
0.98,7,1.7893555304473205
0.98,8,2.044977749082652
0.98,9,2.3005999677179836
0.98,10,2.556222186353315
0.99,3,0.6514417228548778
0.99,4,0.8685889638065037
0.99,5,1.0857362047581296
0.99,6,1.3028834457097556
0.99,7,1.5200306866613815
0.99,8,1.7371779276130075
0.99,9,1.9543251685646335
0.99,10,2.171472409516259
